1,99,53,55,61,0,176
4,108,75,56,73,0,138
5,88,58,64,93,0,139
7,88,78,93,117,0,102
8,108,105,76,142,0,108
11,55,80,81,23,0,96
12,48,80,88,27,0,117
13,55,94,87,41,0,73
14,45,46,81,27,0,68
18,68,101,95,96,0,65
19,51,87,69,73,0,107
21,105,71,105,223,0,116
22,100,92,99,191,0,86
24,81,109,55,123,0,69
25,44,77,53,37,0,108
26,69,56,73,56,0,130
27,93,62,49,18,0,122
28,81,64,95,70,0,139
29,62,86,53,23,0,122
30,88,85,102,164,0,70
31,71,49,76,67,0,76
32,70,44,98,53,0,124
33,90,89,73,132,0,136
34,87,45,81,45,0,77
35,83,72,63,96,0,103
37,59,76,51,33,0,131
38,84,96,48,21,0,60
39,96,64,61,61,0,111
40,70,45,90,78,0,106
43,51,86,108,87,0,109
44,84,40,49,28,0,87
47,86,58,104,149,0,67
48,53,65,48,33,0,67
51,57,86,97,65,0,67
52,104,88,102,96,0,121
53,44,53,106,14,0,74
54,106,51,59,20,0,98
55,95,93,77,71,0,78
56,65,68,109,77,0,85
57,83,64,59,32,0,137
58,95,102,55,126,0,134
59,85,79,49,26,0,111
60,60,85,87,23,0,84
61,57,109,95,130,0,136
62,43,92,88,25,0,84
63,75,69,85,111,0,116
64,100,56,104,123,0,62
65,50,78,110,56,0,121
66,50,47,86,53,0,72
67,76,57,101,34,0,65
70,108,101,77,158,0,102
72,89,83,44,79,0,66
74,73,87,69,115,0,61
75,74,43,85,42,0,128
76,40,92,96,81,0,123
77,96,50,65,57,0,88
78,74,104,42,85,0,116
79,86,62,75,61,0,91
80,43,85,44,20,0,127
81,110,101,93,94,0,116
83,106,105,99,168,0,97
84,94,66,78,41,0,82
85,47,68,44,42,0,74
87,54,53,107,84,0,116
88,70,106,62,106,0,74
89,68,109,108,60,0,117
90,44,98,102,119,0,60
91,91,92,50,89,0,76
92,58,58,65,59,0,138
93,88,68,92,100,0,133
95,91,69,89,68,0,73
96,50,65,84,40,0,68
97,53,53,93,54,0,120
98,108,63,94,139,0,76
99,71,70,68,28,0,108
100,100,62,87,104,0,79
101,102,82,76,154,0,109
102,70,106,64,70,0,135
104,90,95,95,110,0,108
107,99,100,100,252,0,134
108,47,109,70,95,0,90
110,86,88,100,158,0,89
111,62,103,65,27,0,60
113,55,86,75,88,0,87
114,80,93,104,175,0,124
115,46,105,102,112,0,105
116,106,109,83,132,0,128
118,90,82,75,55,0,114
119,41,79,104,25,0,61
120,48,91,74,82,0,105
121,79,108,80,99,0,124
122,77,104,46,67,0,105
123,43,62,40,7,0,75
127,71,78,67,79,0,66
128,79,102,66,44,0,92
130,78,45,40,18,0,79
131,82,80,79,84,0,109
132,92,102,42,115,0,77
135,108,66,45,56,0,132
137,59,110,96,108,0,120
138,85,80,89,142,0,87
140,84,106,65,60,0,119
141,70,43,87,34,0,70
143,82,100,106,206,0,76
144,59,72,106,120,0,111
146,100,45,56,46,0,92
149,63,45,104,76,0,84
151,44,106,79,23,0,89
152,67,57,49,39,0,73
153,62,64,51,59,0,62
154,64,103,91,47,0,118
155,95,87,47,95,0,99
156,47,73,110,57,0,124
158,72,107,95,135,0,61
159,50,92,52,15,0,66
160,108,82,99,232,0,84
161,78,97,62,127,0,67
164,102,40,87,99,0,124
166,84,62,103,142,0,134
167,47,50,100,33,0,124
169,48,87,94,102,0,136
170,100,81,44,39,0,120
171,50,55,93,55,0,110
172,51,71,76,22,0,112
173,92,81,89,130,0,81
174,107,101,47,107,0,127
175,66,88,96,127,0,121
176,60,62,102,42,0,87
177,44,41,99,17,0,77
178,78,69,96,97,0,98
179,62,73,63,38,0,84
182,45,70,78,42,0,65
184,88,96,74,129,0,84
185,42,67,100,52,0,133
186,47,84,93,60,0,118
189,56,63,87,66,0,121
190,108,101,52,143,0,128
191,100,71,94,123,0,64
192,54,76,74,33,0,106
193,72,87,67,113,0,75
194,71,48,109,97,0,116
195,102,57,72,62,0,90
196,64,107,66,85,0,60
